 ,SPRATLY ISLANDS, , , , , , , , , , , , , , , , , 
1A0KM,SOVEREIGN MILITARY ORDER OF MALTA, ,X, , ,X, , , , ,X,X,X,X,X, , ,X
3A,MONACO, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
3B7,AGALEGA & SAINT BRANDON ISLANDS, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
3B8,MAURITIUS ISLAND, ,X, ,X,X, , , , ,X,X,X,X,X,X, ,X
3B9,RODRIGUEZ ISLAND, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
3C,EQUATORIAL GUINEA, ,X, , ,X, , , ,X, ,X,X,X,X,X, , 
3C0,ANNOBON, , , , , , , , , , , , , , , , , 
3D2,CONWAY REEF, ,X, , ,X, , , , , ,X,X, ,X, , , 
3D2,FIJI ISLANDS, ,X, , ,X, , , , ,X,X,X,X,X,X, ,X
3D2,ROTUMA, ,X, , ,X, , , , , , , , ,X,X, , 
3DA,KINGDOM OF ESWATINI, ,X, , ,X, , , , , , ,X, ,X,X, ,X
3V,TUNISIA, ,X,X,X, , , , , , ,X, ,X, ,X, , 
3W XV,VIET NAM, ,X, , ,X, , , ,X,X,X, , , , , ,X
3XA,GUINEA, ,X, , ,X, , , , , ,X, ,X,X,X, , 
3Y,BOUVET ISLAND, , , , , , , , , , , , , , , , , 
3Y,PETER 1 ISLAND, , , , , , , , , , , , , , , , , 
4J,AZERBAIJAN, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
4L,GEORGIA, ,X, ,X,X, , ,X,X,X,X,X,X,X,X, ,X
4O,MONTENEGRO, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
4S,SRI LANKA, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
4U1ITU,ITU HQ, ,X, ,X,X, , ,X, ,X,X,X,X, , ,X,X
4U1UN,UNITED NATIONS HQ, ,X, , ,X, , , ,X, ,X,X,X,X,X, , 
4W,TIMOR - LESTE, ,X, , ,X, , , , ,X,X,X,X,X,X, ,X
4X,ISRAEL, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
5A,LIBYA, ,X, , ,X, , ,X,X,X, , , ,X, , , 
5B,CYPRUS, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
5H,TANZANIA, ,X, , ,X, , , , , ,X,X,X,X,X, ,X
5N,NIGERIA, ,X, , ,X, , , , , , , , , , , ,X
5R,MADAGASCAR, ,X, , ,X, , , ,X,X,X, ,X, ,X, ,X
5T,MAURITANIA, ,X, ,X,X, , , ,X,X,X,X, ,X,X, , 
5U,NIGER, ,X, , ,X, , , , ,X, ,X,X, , , , 
5V7,TOGO, ,X, , ,X, , , , , , ,X, , ,X, ,X
5W,SAMOA, ,X, , ,X, , , ,X, ,X,X,X,X,X, , 
5X,UGANDA, ,X, ,X,X, , , ,X,X,X,X,X,X,X, , 
5Z,KENYA, ,X, , ,X, , ,X,X,X,X,X,X,X,X, ,X
6W,SENEGAL, ,X, , ,X, , , , , ,X, ,X, ,X, ,X
6Y,JAMAICA, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
7O,YEMEN, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
7P,LESOTHO, ,X, , ,X, , , ,X, , ,X,X, ,X, ,X
7Q,MALAWI, ,X, , ,X, , , , ,X,X,X,X,X,X, ,X
7X,ALGERIA, ,X, ,X,X, , , ,X, ,X,X,X,X,X, ,X
8P,BARBADOS, ,X,X, ,X, , , , ,X,X,X,X,X,X, , 
8Q,MALDIVES, ,X, , ,X, , , ,X,X,X,X, , , , , 
8R,GUYANA, ,X, , ,X, , , ,X, ,X,X, , , , , 
9A,CROATIA, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
9G,GHANA, ,X, , ,X, , , , , ,X,X,X,X,X, ,X
9H,MALTA, ,X, ,X,X, , , ,X,X,X,X,X,X,X,X,X
9J,ZAMBIA, ,X, , ,X, , , ,X,X,X, , ,X,X,X, 
9K,KUWAIT, ,X,X, ,X, , ,X,X,X,X,X,X,X,X,X,X
9L,SIERRA LEONE, ,X, , ,X, , , , , , , ,X, ,X, , 
9M2,WEST MALAYSIA, ,X, , ,X, , , , ,X,X, ,X, , , , 
9M6,EAST MALAYSIA, ,X, , ,X, , , , , ,X,X,X, ,X, , 
9N,NEPAL, ,X, , ,X, , , ,X,X,X,X,X,X,X, ,X
9Q,DEMOCRATIC REPUBLIC OF THE CONGO, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
9U,BURUNDI, ,X, , ,X, , , ,X,X,X,X,X, ,X, , 
9V,SINGAPORE, ,X, ,X,X, , , , ,X,X,X,X, , , , 
9X,RWANDA, ,X, , ,X, , ,X, ,X,X,X,X,X,X, ,X
9Y,TRINIDAD & TOBAGO, ,X, ,X,X, , , ,X,X,X,X,X,X,X,X,X
A2,BOTSWANA, ,X,X, ,X, , , , , ,X, , , ,X, ,X
A3,TONGA, ,X, , ,X, , , ,X,X, , , , , , , 
A4,OMAN, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
A5,BHUTAN, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
A6,UNITED ARAB EMIRATES, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
A7,QATAR, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X, 
A9,BAHRAIN, ,X, ,X,X, , , ,X,X,X,X,X,X,X,X, 
AP,PAKISTAN, ,X, ,X,X, , , ,X,X,X,X,X,X,X, , 
BS7H,SCARBOROUGH REEF, , , , , , , , , , , , , , , , , 
BV,TAIWAN, ,X, ,X,X, , , , ,X,X,X,X,X,X, ,X
BV9P,PRATAS ISLAND, , , , , , , , , , , , , , , , , 
BY,CHINA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X, ,X
C21,NAURU, ,X, , ,X, , , , ,X, , , ,X, , ,X
C31,ANDORRA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
C5,THE GAMBIA, ,X, , ,X, , , , ,X,X,X,X, ,X, ,X
C6A,BAHAMAS, ,X, , ,X, , , , ,X,X, , ,X, , ,X
C9,MOZAMBIQUE, ,X, , ,X, , , , , , , , ,X, , ,X
CE,CHILE, ,X, , ,X, , ,X,X,X,X,X,X,X,X, ,X
CE0X,SAN FELIX ISLAND, , , , , , , , , , , , , , , , , 
CE0Y,EASTER ISLAND, ,X, , ,X, , , ,X,X,X,X,X,X, , ,X
CE0Z,JUAN FERNANDEZ ISLAND, ,X, , ,X, , , , , ,X, , ,X, , , 
CE9 KC4,ANTARCTICA, ,X, ,X,X, , , , ,X,X, , , ,X, , 
CN,MOROCCO, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
CO,CUBA, ,X,X, ,X, , , ,X,X,X,X,X,X,X, , 
CP,BOLIVIA, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
CT,PORTUGAL, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
CT3,MADEIRA ISLANDS, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
CU,AZORES, ,X,X, ,X, , ,X,X,X,X,X,X,X,X,X,X
CX,URUGUAY, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
CY0,SABLE ISLAND, ,X, , ,X, , , , ,X,X,X,X, , , ,X
CY9,SAINT PAUL ISLAND, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
D2,ANGOLA, ,X, ,X,X, , , , , ,X, ,X, , , ,X
D4,CAPE VERDE, ,X,X,X,X, , , , ,X,X,X,X,X,X, ,X
D6,COMOROS, ,X, , ,X, , , ,X, , ,X,X,X,X, , 
DL,FEDERAL REPUBLIC OF GERMANY, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
DU,PHILIPPINES, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
E3,ERITREA, ,X, , ,X, , , , ,X, , , , , , , 
E4,PALESTINE, ,X, ,X,X, , , , , ,X, , , , , ,X
E5,NORTH COOK ISLANDS, ,X, , ,X, , , , , , , ,X, , , , 
E5,SOUTH COOK ISLANDS, ,X, , ,X, , , , , ,X, ,X, , , ,X
E6,NIUE, ,X, , ,X, , , , ,X,X,X,X, ,X, , 
E7,BOSNIA-HERZEGOVINA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA,SPAIN, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA6,BALEARIC ISLANDS, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA8,CANARY ISLANDS, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA9,CEUTA & MELILLA, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
EI,IRELAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
EK,ARMENIA, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X, 
EL,LIBERIA, ,X, , ,X, , , ,X,X,X,X,X,X, , , 
EP,IRAN, ,X, ,X,X, , , ,X,X, , , ,X,X, , 
ER,MOLDOVA, ,X, , ,X, , ,X,X,X,X,X,X,X,X,X,X
ES,ESTONIA, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
ET,ETHIOPIA, ,X, , ,X, , , , , ,X,X,X,X,X, , 
EU,BELARUS, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
EX,KYRGYZSTAN, ,X, ,X,X, ,X, ,X,X,X, ,X,X,X,X, 
EY,TAJIKISTAN, ,X, , ,X, , , ,X, ,X,X,X, ,X, , 
EZ,TURKMENISTAN, , , , , , , , , , , , , , , , , 
F,FRANCE, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
