special_call,country,operators
3B8WWA,Mauritius,"3B8GL, 3B8HI, 3B8HL, 3B8HO"
3Z6I,Poland,SP6JIU
4M5A,Venezuela,YV5RAB
4M5DX,Venezuela,YV5SSB
6D2WWA,Mexico,"XE1ADY, XE1AY, XE1BLA, XE1CL, XE1DEL, XE1EC, XE1GCF, XE1JST, XE1SY, XE1YL, XE2AD, XE2AQA, XE2B, XE2IHA, XE2KBR, XE2OK, XE2Q, XE2S, XE2T, XE2V, XE2VQB, XE3KW"
8A1WWA,Indonesia,"YB0AZ, YB0DX, YB1ACC, YB1AF, YB1AM, YB1APR, YB1AR, YB1BTM, YB1BZV, YB1CAS, YB1CDA, YB1CPT, YB1DYN, YB1JYL, YB1KQV, YB1LED, YB1TIA, YB1TS, YB2CLC, YB3CUG, YB3DY, YB3ETY, YB4ECU, YB4KAR, YB4SIZ, YB5SLA, YB6EN, YB7AAE, YB7LXI, YB7NUS, YB7ONC, YB7SQX, YB8AO, YB8EAR, YB8EGI, YB8MJG, YB8PVU, YB8RW, YB8SFE, YB8UTI, YB9FAO, YB9JEG, YC0BZR, YC0DDG, YC1EBM, YC2ULK, YC2YZA, YC6BCA, YC6HLF, YC7ANC, YC8BUL, YD0NXX, YD7AMO, YD9IHG, YE1AR, YE1AVM, YE1BMZ, YE3BER, YG9FXG"
9M8WWA,East Malaysia,"9M2DOC, 9M2MAD, 9M2RSI, 9M2SPN, 9M2WAZ, 9M6JAY, 9M6MUL, 9M8BAT, 9M8HAZ, 9W6AJA, 9W6WOT, 9W8ZZK"
AT2WWA,India,VU2ADV
AT90VANI,India,VU3YBH
BA3RA,China,"BA3MM, BA3QU, BD3SK, BG3IAY, BG3LGO, BG3ODZ, BH3CFN, BI3AO, BI3ASB"
BA7CK,China,"BA7CK, BA7LUI, BA7OTT, BD7PRC, BG7QBL, BG7UKL, BG7UZR"
BG0DLA,China,"BG0BWG, BG0DKV, BG0DLA, BG0EJN, BG0ETY, BG0FFH"
BH9CA,China,"BG9CHE, BG9EQM, BH9BGW, BH9CA, BI9AHD"
BI4SSB,China,"BA4IZZ, BA4KQF, BA4OP, BD4ITM, BD4JJO, BD4JN, BD4MCG, BD4QAJ, BD4TS, BD4WVQ, BH4ECL, BH4LOT, BH4TVU, BI4IWL, BI4QKE, BI4VIP"
BY1RX,China,"BA1AJ, BA1RB, BD1RX, BH1DYK, BH1NNG, BI1AWQ, BI1DSA, BI1OSM"
BY2WL,China,"BA2BA, BD2EI, BD2RJ, BD2VBB, BG2AUE, BG2FYO, BG2GNR, BG2IJR, BG2KAJ, BG2LAU, BG2LHM, BG2UKX, BH2RMX"
BY5HB,China,"BA5AL, BA5DX, BG5ATV, BG5HKI, BG5TOX"
BY6SX,China,"BA6QR, BD6SM, BG6QAL, BG6QBV, BG6QEY, BG6RJN, BG6VBM, BG6VGZ, BG6WBU, BI6AN"
BY8SCX,China,"BG8SRK, BH8SSD, BH8WWP, BI8EFI, BI8SPS, BI8SSW"
CR2WWA,Azores,"CU2AP, CU2CE, CU2DX, CU2JX, CU3AC, CU8AI"
CS2WWA,Portugal,"CT1ASU, CT1BOH, CT1CJJ, CT1EKD, CT1ERY, CT1EWX, CT1GFK, CT1HXB, CT1ILT, CT2GHB, CT2HUU, CT2IFE, CT2IHP, CT2IMG, CT2YVY, CT7AGE, CT7AUE"
DA0WWA,Fed. Rep. of Germany,"DC8YZ, DD2ML, DF1QR, DF3MT, DF4WX, DF6QE, DG1YDX, DG5YHE, DG8WA, DJ5MW, DL1PP, DL2SAX, DL2UW, DL3FF, DL3FF, DL3YEE, DL4HTK, DL4VK, DL5IAH, DL5YL, DL5YM, DL6RY, DL6SAK, DL6TNT, DL7FP, DL9ET, DL9SCO, DO1ABW, DO1EDK, DO2CI"
